<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2020.09.18;10:00:00;122820;123500;122820;123370;2891;5731;10
2020.09.18;10:01:00;123360;123400;123230;123380;1668;3715;10
2020.09.18;10:02:00;123380;123420;123300;123370;816;1668;10
2020.09.18;10:03:00;123360;123380;123210;123260;750;1355;10
2020.09.18;10:04:00;123260;123280;123040;123160;1276;2473;10
2020.09.18;10:05:00;123170;123250;123060;123230;939;2158;10
2020.09.18;10:06:00;123240;123320;123180;123200;755;1418;10
2020.09.18;10:07:00;123200;123230;123120;123200;515;1040;10
2020.09.18;10:08:00;123200;123290;123170;123180;466;918;10
2020.09.18;10:09:00;123170;123200;123030;123060;828;1589;10
2020.09.18;10:10:00;123050;123160;123050;123120;463;766;10
2020.09.18;10:11:00;123110;123330;123060;123200;838;1894;10
2020.09.18;10:12:00;123190;123220;123060;123100;422;632;10
2020.09.18;10:13:00;123100;123130;123030;123050;567;1313;10
2020.09.18;10:14:00;123040;123050;122910;122980;1106;2094;10
2020.09.18;10:15:00;122960;122990;122900;122980;876;1578;10
2020.09.18;10:16:00;122980;123070;122960;123010;804;1457;10
2020.09.18;10:17:00;123020;123020;122870;122920;702;1334;10
2020.09.18;10:18:00;122930;122930;122840;122910;552;1302;10
2020.09.18;10:19:00;122910;123020;122890;122950;530;905;10
2020.09.18;10:20:00;122960;123050;122910;123030;535;974;10
2020.09.18;10:21:00;123030;123080;123000;123010;426;950;10
2020.09.18;10:22:00;123020;123040;122930;123000;354;543;10
2020.09.18;10:23:00;123000;123160;122980;123140;848;1946;10
2020.09.18;10:24:00;123150;123180;123130;123150;395;684;10
2020.09.18;10:25:00;123140;123160;123010;123070;502;1024;10
2020.09.18;10:26:00;123080;123130;123030;123120;336;536;10
2020.09.18;10:27:00;123110;123160;123100;123130;264;466;10
2020.09.18;10:28:00;123130;123170;123060;123070;271;566;10
2020.09.18;10:29:00;123070;123120;123030;123040;304;1012;10
2020.09.18;10:30:00;123050;123100;123020;123040;229;398;10
2020.09.18;10:31:00;123040;123040;122860;122860;918;1796;10
2020.09.18;10:32:00;122850;122870;122720;122860;1413;2977;10
2020.09.18;10:33:00;122850;122930;122830;122930;504;836;10
2020.09.18;10:34:00;122920;122960;122920;122940;346;641;10
2020.09.18;10:35:00;122940;122940;122830;122910;554;1419;10
2020.09.18;10:36:00;122910;122970;122900;122920;265;458;10
2020.09.18;10:37:00;122930;122930;122740;122760;464;820;10
2020.09.18;10:38:00;122760;122860;122750;122810;465;972;10
2020.09.18;10:39:00;122810;122820;122670;122720;926;1955;10
2020.09.18;10:40:00;122710;122720;122560;122690;1139;2343;10
2020.09.18;10:41:00;122690;122760;122640;122750;583;1328;10
2020.09.18;10:42:00;122750;122790;122700;122700;454;957;10
2020.09.18;10:43:00;122690;122710;122640;122670;418;780;10
2020.09.18;10:44:00;122670;122770;122650;122740;300;483;10
2020.09.18;10:45:00;122740;122760;122660;122740;332;589;10
2020.09.18;10:46:00;122740;122740;122620;122640;385;630;10
2020.09.18;10:47:00;122650;122650;122600;122620;343;547;10
2020.09.18;10:48:00;122610;122660;122600;122650;258;497;10
2020.09.18;10:49:00;122650;122710;122630;122710;213;405;10
2020.09.18;10:50:00;122720;122760;122670;122720;485;936;10
2020.09.18;10:51:00;122720;122730;122560;122600;706;1530;10
2020.09.18;10:52:00;122600;122600;122460;122500;1041;2210;10
2020.09.18;10:53:00;122490;122560;122470;122510;465;870;10
2020.09.18;10:54:00;122510;122540;122410;122420;723;1339;10
2020.09.18;10:55:00;122410;122440;122310;122310;1064;2122;10
2020.09.18;10:56:00;122320;122420;122270;122310;1060;2320;10
2020.09.18;10:57:00;122310;122370;122300;122360;389;746;10
